#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      732.8   993.5   208.0   352.3   390.6   886.8  1220.4  4638.9  59973.3    60000
read      684.6   872.9   228.8   346.7   385.2   865.4  1114.5  3811.2  60398.8    60400
read      643.2   891.8   228.8   329.0   357.8   752.6  1114.7  4445.9  60883.7    60800
read      587.9   741.3   208.0   324.1   351.0   679.3   962.3  3669.4  61269.1    61200
read      591.2   823.2   228.8   330.0   356.7   689.5   944.7  3760.4  61496.7    61600
read      676.7   893.9   228.8   340.9   369.0   791.1  1636.6  5379.5  62011.8    62000
read      570.1   706.6   208.0   315.5   341.5   649.4   884.6  3732.1  62489.4    62400
read      630.8  1093.3   208.0   329.3   355.9   674.0  1019.2  4994.5  62699.5    62800
read      572.3   583.3   189.1   333.7   358.8   677.0   962.9  3387.7  63220.2    63200
read      623.7   872.9   208.0   337.8   363.0   701.4  1120.6  4544.6  63486.0    63600
read      572.1   636.6   208.0   316.0   342.3   701.7  1025.4  3118.8  64064.9    64000
read      578.1   663.1   208.0   327.6   353.2   688.6   996.3  3156.1  64456.4    64400
read      610.0   757.9   228.8   347.3   374.1   687.3  1057.2  4094.8  64720.6    64800
read      681.3   812.5   228.8   340.5   372.3   840.3  1464.9  4695.6  65385.4    65200
read      652.9   816.2   208.0   338.9   371.7   780.9  1113.2  3991.0  65577.6    65600
read      617.5   881.2   228.8   324.6   351.6   710.8  1112.2  4204.9  65921.7    66000
read      641.4   864.7   208.0   323.1   349.0   758.9  1329.9  4793.7  66380.5    66400
read      656.1  1106.0   208.0   336.7   364.7   749.3  1204.8  4637.2  66791.1    66800
read      624.2   742.8   228.8   336.0   364.2   769.6  1195.4  3762.9  67158.4    67200
read      709.4   912.9   208.0   339.0   371.3   881.0  1491.2  5311.0  67503.2    67600
read      651.6   719.8   208.0   349.1   385.1   799.9  1132.7  3348.3  68007.1    68000
read      657.7   804.2   228.8   332.8   362.5   792.2  1245.2  4578.4  68313.1    68400
read      633.5   625.6   228.8   336.8   368.6   790.7  1139.4  3534.0  68764.4    68800
read      641.8   726.7   228.8   336.0   365.0   815.5  1196.4  3343.4  69127.9    69200
read      692.5   929.0   228.8   337.7   371.5   832.8  1337.4  4786.2  69611.7    69600
read      668.1   780.9   208.0   334.8   366.9   845.6  1206.9  4024.7  70034.9    70000
