#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      701.4   810.7   228.8   358.2   389.7   876.0  1359.2  4665.7  66824.5    66900
read      669.5   779.7   251.6   359.3   390.5   859.1  1199.0  3557.5  67043.5    67000
read      857.1  1171.8   228.8   378.4   417.1  1174.2  2119.5  6422.7  67128.2    67100
read      711.3  1031.4   228.8   350.6   381.5   864.9  1308.7  5203.7  67119.1    67200
read      687.1   945.5   228.8   350.5   381.5   835.4  1268.5  4471.5  67348.8    67300
read      725.6  1956.8   208.0   357.7   390.7   865.4  1418.5  4753.7  67449.3    67400
read      666.0   741.7   208.0   362.1   391.4   841.9  1232.0  3854.2  67551.0    67500
read      762.3  1658.2   228.8   362.4   394.8   882.3  1431.8  5362.8  67701.4    67600
read      698.2   809.9   228.8   354.6   386.3   866.8  1421.2  4677.3  67766.9    67700
read      685.3   788.7   228.8   362.5   394.9   842.8  1294.6  4135.9  67765.6    67800
read      747.5   892.4   228.8   353.7   387.0  1065.9  1558.0  4724.1  67868.4    67900
read      731.3   960.0   228.8   353.2   387.6   938.6  1418.9  4622.3  68038.7    68000
read      728.3  1196.7   228.8   363.4   395.9   938.8  1336.6  4613.1  68095.7    68100
read      738.5  1219.6   251.6   364.9   397.0   940.0  1484.7  5122.0  68183.6    68200
read      736.7  1182.0   251.6   361.0   394.0   889.9  1336.1  4573.4  68166.8    68300
read      694.7  1021.4   228.8   358.8   389.7   804.8  1235.4  4874.5  68331.8    68400
read      802.3  1121.1   251.6   355.3   387.9  1109.6  2146.6  6564.6  68561.0    68500
read      752.6   863.6   251.6   389.0   424.8   942.1  1445.6  4701.2  68459.9    68600
read      718.8   870.5   228.8   362.4   394.6   927.4  1448.2  4795.9  68670.3    68700
read      701.4   904.1   228.8   362.1   393.4   848.5  1355.9  4596.4  68928.7    68800
read      674.1   829.2   228.8   369.5   400.1   832.0  1185.7  3937.6  68918.8    68900
read      712.0   913.5   228.8   356.2   388.8   868.9  1414.6  5093.7  68958.3    69000
read      679.3   722.4   228.8   363.3   394.4   847.8  1352.2  4063.2  69060.4    69100
read      684.9   828.2   228.8   354.0   386.0   838.4  1311.2  4659.7  69303.7    69200
read      711.3   875.1   228.8   354.4   386.1   955.2  1431.3  4384.0  69295.9    69300
read      675.8   699.0   208.0   357.5   389.5   853.3  1302.3  4051.0  69364.0    69400
read      737.6   817.7   251.6   378.9   415.9   910.7  1345.7  4657.7  69428.8    69500
read      738.3   976.3   228.8   354.5   387.8   935.3  1621.9  5402.8  69560.0    69600
read      713.8   890.8   228.8   376.3   410.2   862.0  1258.2  4467.8  69721.0    69700
read      700.8   989.2   228.8   357.9   388.6   831.4  1410.0  5031.4  69839.3    69800
read      793.6  1051.2   228.8   374.9   408.3  1135.3  2056.4  5670.4  69847.3    69900
read      754.3   936.6   228.8   386.9   423.3   939.8  1354.6  4656.6  69946.9    70000
